close,high,low,open,time,volume
2.2316,2.2333,2.2306,2.2331,1749732600,77084
2.2331,2.2362,2.2329,2.2362,1749732300,23979
2.2365,2.2369,2.2342,2.2357,1749732000,47146
2.2353,2.236,2.2313,2.2315,1749731700,59040
2.2324,2.2329,2.2267,2.228,1749731400,102000
2.2271,2.2285,2.2264,2.2267,1749731100,41123
2.2266,2.2275,2.2235,2.2243,1749730800,56832
2.2242,2.2253,2.221,2.222,1749730500,41666
2.2226,2.2235,2.2204,2.222,1749730200,43435
2.2216,2.2275,2.2208,2.2274,1749729900,87840
2.2272,2.2287,2.2237,2.2249,1749729600,48559
2.2247,2.226,2.2236,2.2256,1749729300,55388
2.2256,2.2287,2.2245,2.227,1749729000,39631
2.2269,2.2302,2.2265,2.2286,1749728700,34159
2.2292,2.2297,2.2237,2.2237,1749728400,27483
2.2238,2.2279,2.223,2.2243,1749728100,67883
2.2242,2.227,2.2228,2.2248,1749727800,76526
2.2244,2.231,2.2238,2.2285,1749727500,120425
2.2288,2.2317,2.2278,2.2306,1749727200,78063
2.2306,2.2359,2.2304,2.2359,1749726900,61435
2.237,2.238,2.2355,2.2361,1749726600,23853
2.235,2.2367,2.2337,2.2366,1749726300,8137
2.2376,2.239,2.2363,2.2382,1749726000,25696
2.2383,2.2389,2.2328,2.2374,1749725700,49561
2.2358,2.2387,2.2348,2.2376,1749725400,38496
2.2377,2.2398,2.2374,2.2375,1749725100,12694
2.2372,2.2397,2.2372,2.2382,1749724800,8010
2.2382,2.2389,2.236,2.2369,1749724500,22121
2.2362,2.2407,2.2355,2.238,1749724200,38471
2.2379,2.2394,2.2344,2.2372,1749723900,41256
2.2376,2.2426,2.2376,2.24,1749723600,63432
2.2406,2.2408,2.2365,2.2394,1749723300,42976
2.2392,2.2413,2.2384,2.2413,1749723000,31100
2.2405,2.2416,2.2387,2.2387,1749722700,29758
2.2389,2.2438,2.2388,2.2437,1749722400,49900
2.2439,2.2451,2.2439,2.2446,1749722100,11444
2.2448,2.2456,2.2435,2.2449,1749721800,25438
2.2448,2.2473,2.2445,2.2465,1749721500,40793
2.2465,2.2479,2.2465,2.2469,1749721200,7912
2.2469,2.2489,2.2468,2.2475,1749720900,77586
2.2472,2.2479,2.2459,2.2461,1749720600,34740
2.2461,2.2468,2.2431,2.2434,1749720300,27970
2.2447,2.2462,2.2435,2.2448,1749720000,18207
2.2438,2.2456,2.2431,2.2434,1749719700,6677
2.2436,2.2456,2.2435,2.2454,1749719400,9458
2.2446,2.2446,2.2417,2.2432,1749719100,22121
2.2429,2.246,2.2419,2.2434,1749718800,55744
2.2434,2.2445,2.2428,2.2436,1749718500,15647
2.2438,2.2447,2.2426,2.2431,1749718200,27346
2.2428,2.2443,2.2391,2.2416,1749717900,12141
2.2422,2.2429,2.2385,2.2385,1749717600,10979
